codigo,sigla,nome,ativa,tipo,apelido,casa,dataCriacao,dataExtincao,dataInstalacao,finalidade,historia,participacao,composicao,atualizadoEm
2648,CTEBOLÍVIA,"Comissão Temporária Externa para verificar ""in loco"" a situação política e social do Estado Plurinacional da Bolívia",true,temporaria,,SF,2023-11-28,,,"verificar ""in loco"", no prazo de 180 dias, a situação política e social do Estado Plurinacional da Bolívia, no que diz respeito à cláusula democrática do Mercosul, prevista nos Protocolos de Ushuaia, cujo texto estabelece que a plena vigência das instituições democráticas é indispensável para o desenvolvimento dos processos de integração entre os signatários do referido Bloco.",,,[object Object],2025-05-10T23:59:10.381Z
2641,CTI200CONFEQ,Comissão Temporária Interna em Comemoração aos 200 anos da Confederação do Equador,true,temporaria,,SF,2023-10-18,,,"planejar e coordenar, no prazo de 365 (trezentos e sessenta e cinco) dias, as atividades de comemoração dos 200 (duzentos) anos da Confederação do Equador.",,,[object Object],2025-05-10T23:59:10.381Z
2745,GTMTI,Grupo de trabalho sobre regulamentação da mineração em terras indígenas.,true,temporaria,,SF,2025-04-22,,,"elaborar, no prazo de 180 (cento e oitenta) dias, projeto de lei para regulamentar a atividade de mineração em terras indígenas.",,,[object Object],2025-05-10T23:59:10.381Z
2715,CCC,Comenda Ceci Cunha,true,orgaos,,SF,2024-12-13,,,"A Comenda Ceci Cunha é destinada a agraciar personalidades do sexo feminino que tenham se destacado no exercício da atividade legislativa ou executiva nos âmbitos federal, estadual, distrital ou municipal.",,,[object Object],2025-05-10T23:59:10.380Z
770,CDBL,Conselho do Diploma Bertha Lutz,true,orgaos,,SF,2001-03-16,,,"O Diploma Bertha Lutz premia pessoas que tenham oferecido contribuição relevante à defesa dos direitos da mulher e questões do gênero no Brasil. O Diploma é entregue em sessão do Senado durante as atividades do Dia Internacional da Mulher, comemorado em 8 de março.",,,[object Object],2025-05-10T23:59:10.381Z
1713,CDGN,Conselho da Comenda Dorina de Gouvêa Nowill,true,orgaos,,SF,2013-08-07,,,A Comenda Dorina de Gouvêa Nowill é entregue a personalidades que tenham oferecido contribuição relevante à defesa das pessoas com deficiência no Brasil.,,,[object Object],2025-05-10T23:59:10.381Z
1540,CDHC,Conselho da Comenda de Direitos Humanos Dom Hélder Câmara,true,orgaos,,SF,2010-05-26,,,A Comenda de Direitos Humanos Dom Hélder Câmara é entregue anualmente pelo Senado Federal a personalidades que tenham oferecido contribuição relevante à defesa dos direitos humanos no Brasil.,,,[object Object],2025-05-10T23:59:10.381Z
2015,CDIR,Comissão Diretora do Senado Federal,true,orgaos,,SF,1900-01-01,,,,,,[object Object],2025-05-10T23:59:10.381Z
2532,CDPS,Conselho do Diploma Paul Singer,true,orgaos,,SF,2022-04-21,,,"É instituído, no âmbito do Senado Federal, o Diploma Paul Singer, destinado a agraciar iniciativas empreendedoras em atividades de Economia Solidária. Poderão ser indicadas ao Diploma pessoas físicas ou jurídicas empreendedoras em atividades de Economia Solidária e que observem os princípios da autogestão, do comércio justo e solidário, da cooperação e da solidariedade, da gestão democrática e participativa, da distribuição equitativa das riquezas produzidas coletivamente, do desenvolvimento local, regional e territorial integrado e sustentável, do respeito aos ecossistemas, da preservação do meio ambiente e da valorização do ser humano, do trabalho e da cultura.",,,[object Object],2025-05-10T23:59:10.381Z
445,CEDP,Conselho de Ética e Decoro Parlamentar,true,orgaos,,SF,1993-03-17,,,"Ao Conselho de Ética e Decoro Parlamentar compete zelar pela observância dos preceitos do Código e do Regimento Interno, atuando no sentido da preservação da dignidade do mandato parlamentar no Senado Federal.  É o Conselho de Ética que recebe e analisa previamente representações ou denúncias feitas contra Senador, que podem resultar em medidas disciplinares como advertência, censura verbal ou escrita e perda do mandato.",,,[object Object],2025-05-10T23:59:10.381Z
