id,nome,partido,uf
6118,Filipe Barros,PL,
6158,Luiz Lima,NOVO,
6174,José Medeiros,PL,
6506,Delegado Ramagem,PL,
6399,Ricardo Salles,NOVO,
6539,Delegado Paulo Bilynskyj,PL,
6575,Roberta Roma,PL,
3688,Giacobo,PL,
5718,Eliziane Gama,PSD,
1173,Wellington Fagundes,PL,
5959,Styvenson Valentim,PSDB,
5793,Dr. Hiran,PP,
5411,Weverton,PDT,
4642,Efraim Filho,UNIÃO,
6009,Astronauta Marcos Pontes,PL,
6443,Zucco,REPUBLICANOS,
6123,Sanderson,PL,
6464,Cabo Gilberto Silva,PL,
6088,Coronel Chrisóstomo,PL,
6458,Gustavo Gayer,PL,
6420,Gilvan da Federal,PL,
5745,Joaquim Passarinho,PL,
5745,Joaquim Passarinho,PL,
6221,Junio Amaral,PL,
6539,Delegado Paulo Bilynskyj,PL,
5743,Delegado Éder Mauro,PL,
6165,Chris Tonietto,PL,
6572,Capitão Alden,PL,
2410,Osmar Terra,MDB,
6413,Rodrigo Valadares,UNIÃO,
5706,Evair Vieira de Melo,PP,
6096,Sargento Fahur,PSD,
6418,Nikolas Ferreira,PL,
5986,Rodolfo Nogueira,PL,
6449,Zé Trovão,PL,
6469,Silvia Waiãpi,PL,
6482,Coronel Assis,UNIÃO,
6508,Sargento Gonçalves,PL,
6515,Mauricio do Vôlei,PL,
6540,Mario Frias,PL,
6551,Coronel Meira,PL,
6558,Delegado Caveira,PL,
4694,Rogerio Marinho,PL,
5748,Veneziano Vital do Rêgo,MDB,
5722,Rubens Pereira Júnior,PT,
4632,Dagoberto Nogueira,PSDB,
