codigo,nome,partido,uf,cargo,tipoLideranca,nomeLideranca,siglaLideranca
6502,Pastor Henrique Vieira,PSOL,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
6553,Maria Arraes,SOLIDARIEDADE,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
769,Jandira Feghali,PCdoB,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
4575,Lídice da Mata,PSB,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
6188,Mauro Benevides Filho,PDT,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
6039,Márcio Jerry,PCdoB,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
4738,Jilmar Tatto,PT,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
5284,Romero Rodrigues,PODEMOS,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
5291,Augusto Coutinho,REPUBLICANOS,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
5693,Mário Negromonte Jr.,PP,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
5762,Aliel Machado,PV,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
6103,Gervásio Maia,PSB,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
6202,Alencar Santana,PT,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
6260,Zé Neto,PT,,[object Object],Líder da Câmara dos Deputados,Liderança do Governo na Câmara dos Deputados,G
5221,Antonio Brito,PSD,,[object Object],Líder da Câmara dos Deputados,Liderança de Partido na Câmara dos Deputados,P
6141,Isnaldo Bulhões Jr.,MDB,,[object Object],Líder da Câmara dos Deputados,Liderança de Partido na Câmara dos Deputados,P
6153,Doutor Luizinho,PP,,[object Object],Líder da Câmara dos Deputados,Liderança de Partido na Câmara dos Deputados,P
6195,Fred Costa,PRD,,[object Object],Líder da Câmara dos Deputados,Liderança de Partido na Câmara dos Deputados,P
5321,Aureo Ribeiro,SOLIDARIEDADE,,[object Object],Líder da Câmara dos Deputados,Liderança de Partido na Câmara dos Deputados,P
6552,Pedro Campos,PSB,,[object Object],Líder da Câmara dos Deputados,Liderança de Partido na Câmara dos Deputados,P
6049,Pedro Lucas Fernandes,UNIÃO,,[object Object],Líder da Câmara dos Deputados,Liderança de Partido na Câmara dos Deputados,P
5781,Sóstenes Cavalcante,PL,,[object Object],Líder da Câmara dos Deputados,Liderança de Partido na Câmara dos Deputados,P
6526,Rodrigo Gambale,PODEMOS,,[object Object],Líder da Câmara dos Deputados,Liderança de Partido na Câmara dos Deputados,P
3883,Mário Heringer,PDT,,[object Object],Líder da Câmara dos Deputados,Liderança de Partido na Câmara dos Deputados,P
6193,Gilberto Abramo,REPUBLICANOS,,[object Object],Líder da Câmara dos Deputados,Liderança de Partido na Câmara dos Deputados,P
6054,Marcel van Hattem,NOVO,,[object Object],Líder da Câmara dos Deputados,Liderança de Partido na Câmara dos Deputados,P
5262,Weliton Prado,SOLIDARIEDADE,,[object Object],Líder da Câmara dos Deputados,Liderança de Partido na Câmara dos Deputados,P
5259,Zé Silva,SOLIDARIEDADE,,[object Object],Líder da Câmara dos Deputados,Liderança de Partido na Câmara dos Deputados,P
6585,Neto Carletto,AVANTE,,[object Object],Líder da Câmara dos Deputados,Liderança de Partido na Câmara dos Deputados,P
6261,Adolfo Viana,PSDB,,[object Object],Líder da Câmara dos Deputados,Liderança de Bloco na Câmara dos Deputados,B
6167,Talíria Petrone,PSOL,,[object Object],Líder da Câmara dos Deputados,Liderança de Bloco na Câmara dos Deputados,B
3695,Lindbergh Farias,PT,,[object Object],Líder da Câmara dos Deputados,Liderança de Bloco na Câmara dos Deputados,B
6114,Fernanda Melchionna,PSOL,,[object Object],Líder da Câmara dos Deputados,Liderança de Bloco na Câmara dos Deputados,B
6417,Célia Xakriabá,PSOL,,[object Object],Líder da Câmara dos Deputados,Liderança de Bloco na Câmara dos Deputados,B
3694,Chico Alencar,PSOL,,[object Object],Líder da Câmara dos Deputados,Liderança de Bloco na Câmara dos Deputados,B
6597,Professora Luciene Cavalcante,PSOL,,[object Object],Líder da Câmara dos Deputados,Liderança de Bloco na Câmara dos Deputados,B
6530,Erika Hilton,PSOL,,[object Object],Líder da Câmara dos Deputados,Liderança de Bloco na Câmara dos Deputados,B
6502,Pastor Henrique Vieira,PSOL,,[object Object],Líder da Câmara dos Deputados,Liderança de Bloco na Câmara dos Deputados,B
6502,Pastor Henrique Vieira,PSOL,,[object Object],Líder da Câmara dos Deputados,Liderança de Bloco na Câmara dos Deputados,B
5736,Tereza Cristina,PP,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
5976,Eduardo Girão,NOVO,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
6338,Teresa Leitão,PT,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
5942,Marcos do Val,PODEMOS,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
5525,Omar Aziz,PSD,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
5502,Plínio Valério,PSDB,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
5352,Rogério Carvalho,PT,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
5990,Carlos Viana,PODEMOS,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
4994,Eduardo Braga,MDB,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
5411,Weverton,PDT,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
4642,Efraim Filho,UNIÃO,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
6027,Mecias de Jesus,REPUBLICANOS,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
5967,Angelo Coronel,PSD,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
5936,Carlos Portinho,PL,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
5973,Cid Gomes,PSB,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
5895,Jorge Kajuru,PSB,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
5959,Styvenson Valentim,PSDB,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
742,Marcelo Castro,MDB,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
475,Confúcio Moura,MDB,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
6008,Giordano,MDB,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
22,Esperidião Amin,PP,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
4770,Izalci Lucas,PL,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
6342,Jorge Seif,PL,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
6340,Jaime Bagattoli,PL,,[object Object],Líder do Senado Federal,Liderança de Partido no Senado Federal,P
739,Ciro Nogueira,PP,,[object Object],Líder do Senado Federal,Liderança da Minoria no Senado Federal,N
3777,Eduardo Gomes,PL,,[object Object],Vice-líder do Congresso Nacional,Liderança da Minoria no Congresso Nacional,I
5736,Tereza Cristina,PP,,[object Object],Vice-líder do Congresso Nacional,Liderança da Minoria no Congresso Nacional,I
631,Magno Malta,PL,,[object Object],Vice-líder do Congresso Nacional,Liderança da Minoria no Congresso Nacional,I
5976,Eduardo Girão,NOVO,,[object Object],Vice-líder do Congresso Nacional,Liderança da Minoria no Congresso Nacional,I
6335,Damares Alves,REPUBLICANOS,,[object Object],Vice-líder do Congresso Nacional,Liderança da Minoria no Congresso Nacional,I
6084,Bia Kicis,PL,,[object Object],Vice-líder do Congresso Nacional,Liderança da Minoria no Congresso Nacional,I
6158,Luiz Lima,NOVO,,[object Object],Vice-líder do Congresso Nacional,Liderança da Minoria no Congresso Nacional,I
6075,Gilson Marques,NOVO,,[object Object],Vice-líder do Congresso Nacional,Liderança da Minoria no Congresso Nacional,I
6054,Marcel van Hattem,NOVO,,[object Object],Vice-líder do Congresso Nacional,Liderança da Minoria no Congresso Nacional,I
6174,José Medeiros,PL,,[object Object],Vice-líder do Congresso Nacional,Liderança da Minoria no Congresso Nacional,I
1230,Alberto Fraga,PL,,[object Object],Vice-líder do Congresso Nacional,Liderança da Minoria no Congresso Nacional,I
6506,Delegado Ramagem,PL,,[object Object],Vice-líder do Congresso Nacional,Liderança da Minoria no Congresso Nacional,I
6399,Ricardo Salles,NOVO,,[object Object],Vice-líder do Congresso Nacional,Liderança da Minoria no Congresso Nacional,I
6118,Filipe Barros,PL,,[object Object],Vice-líder do Congresso Nacional,Liderança da Minoria no Congresso Nacional,I
6575,Roberta Roma,PL,,[object Object],Vice-líder do Congresso Nacional,Liderança da Minoria no Congresso Nacional,I
6070,Silvia Cristina,PP,,[object Object],Vice-líder do Congresso Nacional,Liderança da Minoria no Congresso Nacional,I
6539,Delegado Paulo Bilynskyj,PL,,[object Object],Vice-líder do Congresso Nacional,Liderança da Minoria no Congresso Nacional,I
3688,Giacobo,PL,,[object Object],Vice-líder do Congresso Nacional,Liderança da Minoria no Congresso Nacional,I
5894,Flávio Bolsonaro,PL,,[object Object],Vice-líder do Congresso Nacional,Liderança da Minoria no Congresso Nacional,I
6089,Acácio Favacho,MDB,,[object Object],Primeiro vice-líder da Câmara dos Deputados,Liderança da Maioria na Câmara dos Deputados,A
6115,Gustinho Ribeiro,REPUBLICANOS,,[object Object],Primeiro vice-líder da Câmara dos Deputados,Liderança da Maioria na Câmara dos Deputados,A
